written;hostname;services;procedure;stratos
no;WWEASAPP0009;Active_Sessions;http://monitoring-dc.app.corp/kb/app:score:app_server:active_session;OP_FR_PILOTS, OP_APPLI
yes;WWEASAPP0009;CPU;http://monitoring-dc.app.corp/kb/system:windows:cpu;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;WWEASAPP0009;Drive_C_used_space;http://monitoring-dc.app.corp/kb/system:windows:partition:;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;WWEASAPP0009;Memory_Physical_used;http://monitoring-dc.app.corp/kb/system:windows:memory_usage;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;WWEASAPP0009;Memory_Virtual_used;http://monitoring-dc.app.corp/kb/system:windows:memory_usage;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;WWEASAPP0009;Process_ActivePDF_Server;http://monitoring-dc.app.corp/kb/app:score:app_server:processes;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;WWEASAPP0009;Process_CtController;http://monitoring-dc.app.corp/kb/app:score:app_server:processes;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;WWEASAPP0009;SNMP;http://monitoring-dc.app.corp/kb/monitoring:snmp;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;WWEASAPP0009;Service_ActivePDF_Server;http://monitoring-dc.app.corp/kb/app:score:app_server:services;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;WWEASAPP0009;Service_CtController;http://monitoring-dc.app.corp/kb/app:score:app_server:services;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;WWEASAPP0009;WMI;http://monitoring-dc.app.corp/kb/monitoring:wmi;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;WWEASAPP0010;Active_Sessions;http://monitoring-dc.app.corp/kb/app:score:app_server:active_session;OP_FR_PILOTS, OP_APPLI
yes;WWEASAPP0010;CPU;http://monitoring-dc.app.corp/kb/system:windows:cpu;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;WWEASAPP0010;Drive_C_used_space;http://monitoring-dc.app.corp/kb/system:windows:partition:;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;WWEASAPP0010;Memory_Physical_used;http://monitoring-dc.app.corp/kb/system:windows:memory_usage;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
yes;WWEASAPP0010;Memory_Virtual_used;http://monitoring-dc.app.corp/kb/system:windows:memory_usage;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;WWEASAPP0010;Process_ActivePDF_Server;http://monitoring-dc.app.corp/kb/app:score:app_server:processes;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
no;WWEASAPP0010;Process_CtController;http://monitoring-dc.app.corp/kb/app:score:app_server:processes;OP_APPLI, OP_NA_SYSTEM_WIN, OP_SYSTEM_WIN, OP_FR_PILOTS
